Hit,Title,Artist,Featuring,Artist_Feat
1,Prisoner of Love,Perry Como,0,Perry Como
1,To Each His Own,Eddy Howard,0,Eddy Howard
1,The Gypsy,Ink Spots,0,Ink Spots
1,Five Minutes More,Frank Sinatra,0,Frank Sinatra
1,Rumors Are Flying,Frankie Carle,0,Frankie Carle
1,Oh! What It Seemed to Be,Frankie Carle,0,Frankie Carle
1,Personality,Johnny Mercer and The Pied Pipers,0,Johnny Mercer and The Pied Pipers
1,"South America, Take It Away",Bing Crosby and The Andrews Sisters,0,Bing Crosby and The Andrews Sisters
1,The Gypsy,Dinah Shore,0,Dinah Shore
1,Oh! What It Seemed to Be,Frank Sinatra,0,Frank Sinatra
0,Surrender,Perry Como,0,Perry Como
0,"Doctor, Lawyer, Indian Chief",Betty Hutton,0,Betty Hutton
0,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe,0,Vaughn Monroe
0,To Each His Own,Freddy Martin,0,Freddy Martin
0,Ole Buttermilk Sky,Kay Kyser,0,Kay Kyser
0,To Each His Own,Ink Spots,0,Ink Spots
0,Symphony,Freddy Martin,0,Freddy Martin
0,The Old Lamp-Lighter,Sammy Kaye,0,Sammy Kaye
0,I Can't Begin to Tell You,Bing Crosby and Carmen Cavallaro,0,Bing Crosby and Carmen Cavallaro
0,I'm a Big Girl Now,Sammy Kaye,0,Sammy Kaye
0,Symphony,Bing Crosby,0,Bing Crosby
0,The Gypsy,Sammy Kaye,0,Sammy Kaye
0,Doin' What Comes Natur'lly,Dinah Shore with the Spade Cooley Orchestra,0,Dinah Shore with the Spade Cooley Orchestra
0,Laughing on the Outside (Crying on the Inside),Dinah Shore,0,Dinah Shore
0,Five Minutes More,Tex Beneke with the Glenn Miller Orchestra,0,Tex Beneke with the Glenn Miller Orchestra
0,Laughing on the Outside (Crying on the Inside),Andy Russell,0,Andy Russell
0,Hey! Ba-Ba-Re-Bop,Tex Beneke with the Glenn Miller Orchestra,0,Tex Beneke with the Glenn Miller Orchestra
0,They Say It's Wonderful,Perry Como,0,Perry Como
0,To Each His Own,Tony Martin,0,Tony Martin
0,You Won't Be Satisfied (Until You Break My Heart),Les Brown,0,Les Brown
0,Symphony,Benny Goodman,0,Benny Goodman
0,Oh! What It Seemed to Be,Charlie Spivak,0,Charlie Spivak
0,Doin' What Comes Natur'lly,Freddy Martin,0,Freddy Martin
