Hit,Title,Artist,Featuring,Artist_Feat,lookup,available_markets,release_date,total_followers,genres,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
1,Prisoner of Love,Perry Como,0,Perry Como,Prisoner of Love Perry Como,182.0,2022-12-31,445555.0,"['adult standards', 'easy listening']",74.0,0.762,0.335,208794.0,0.153,0.000302,2.0,0.426,-12.794,0.0319,75.588,1.0,0.206
1,To Each His Own,Eddy Howard,0,Eddy Howard,To Each His Own Eddy Howard,183.0,1953-03-04,3035.0,[],20.0,0.944,0.507,185907.0,0.0865,6.46e-05,3.0,0.126,-13.63,0.0387,74.552,4.0,0.132
1,The Gypsy,Ink Spots,0,Ink Spots,The Gypsy Ink Spots,184.0,1998-06-16,245108.0,"['adult standards', 'lounge', 'swing', 'vocal harmony group']",57.0,0.812,0.531,164533.0,0.125,0.0,7.0,0.103,-15.463,0.0552,76.056,4.0,0.222
1,Five Minutes More,Frank Sinatra,0,Frank Sinatra,Five Minutes More Frank Sinatra,182.0,1993-10-17,6006924.0,"['adult standards', 'easy listening', 'lounge']",84.0,0.794,0.67,154773.0,0.0625,0.0,9.0,0.0762,-20.393,0.0611,142.894,4.0,0.569
1,Rumors Are Flying,Frankie Carle,0,Frankie Carle,Rumors Are Flying Frankie Carle,184.0,2006-11-30,2318.0,"['big band', 'honky-tonk piano', 'space age pop', 'swing']",36.0,0.951,0.332,183133.0,0.204,0.00252,11.0,0.638,-15.557,0.0437,72.355,4.0,0.377
1,Oh! What It Seemed to Be,Frankie Carle,0,Frankie Carle,Oh! What It Seemed to Be Frankie Carle,161.0,2007,2318.0,"['big band', 'honky-tonk piano', 'space age pop', 'swing']",36.0,0.99,0.522,189333.0,0.109,0.923,0.0,0.18,-17.518,0.0413,72.715,4.0,0.281
1,Personality,Johnny Mercer and The Pied Pipers,0,Johnny Mercer and The Pied Pipers,Personality Johnny Mercer and The Pied Pipers,183.0,2019-03-24,2278.0,[],32.0,0.904,0.689,166590.0,0.317,0.0,7.0,0.168,-9.333,0.0407,134.191,4.0,0.684
1,"South America, Take It Away",Bing Crosby and The Andrews Sisters,0,Bing Crosby and The Andrews Sisters,"South America, Take It Away Bing Crosby and The Andrews Sisters",168.0,1993-01-01,434533.0,"['adult standards', 'easy listening']",81.0,0.742,0.748,187293.0,0.4,0.0,1.0,0.107,-11.47,0.117,78.382,4.0,0.842
1,The Gypsy,Dinah Shore,0,Dinah Shore,The Gypsy Dinah Shore,162.0,2010-08-24,73870.0,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",48.0,0.967,0.381,181000.0,0.208,0.00658,9.0,0.128,-13.486,0.0313,80.816,3.0,0.294
1,Oh! What It Seemed to Be,Frank Sinatra,0,Frank Sinatra,Oh! What It Seemed to Be Frank Sinatra,182.0,1993-10-17,6006924.0,"['adult standards', 'easy listening', 'lounge']",84.0,0.94,0.331,178760.0,0.0901,0.0,1.0,0.173,-18.921,0.0393,122.16,4.0,0.251
0,Surrender,Perry Como,0,Perry Como,Surrender Perry Como,181.0,2010-10-26,445555.0,"['adult standards', 'easy listening']",74.0,0.987,0.273,191307.0,0.106,0.141,7.0,0.265,-17.009,0.0386,80.062,1.0,0.112
0,"Doctor, Lawyer, Indian Chief",Betty Hutton,0,Betty Hutton,"Doctor, Lawyer, Indian Chief Betty Hutton",184.0,1950-01-01,17582.0,['vintage hollywood'],33.0,0.822,0.7,186187.0,0.291,0.0,8.0,0.0639,-9.72,0.231,176.253,4.0,0.943
0,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe,0,Vaughn Monroe,Let It Snow! Let It Snow! Let It Snow! Vaughn Monroe,183.0,2008-08-11,16325.0,"['adult standards', 'big band', 'lounge', 'swing']",36.0,0.982,0.562,184778.0,0.132,0.00141,2.0,0.496,-11.604,0.0306,117.84,4.0,0.459
0,To Each His Own,Freddy Martin,0,Freddy Martin,To Each His Own Freddy Martin,184.0,1948-05-06,1851.0,[],15.0,0.884,0.246,189080.0,0.218,0.00507,7.0,0.402,-12.566,0.034,81.857,5.0,0.306
0,Ole Buttermilk Sky,Kay Kyser,0,Kay Kyser,Ole Buttermilk Sky Kay Kyser,184.0,2000-05-09,5918.0,"[""man's orchestra""]",39.0,0.975,0.572,177507.0,0.184,7.29e-05,0.0,0.159,-14.434,0.0438,168.596,4.0,0.829
0,To Each His Own,Ink Spots,0,Ink Spots,To Each His Own Ink Spots,184.0,1998-06-16,245108.0,"['adult standards', 'lounge', 'swing', 'vocal harmony group']",57.0,0.975,0.489,190000.0,0.0729,4.61e-05,3.0,0.104,-16.442,0.0826,70.464,4.0,0.202
0,Symphony,Freddy Martin,0,Freddy Martin,Symphony Freddy Martin,184.0,1948-05-06,1851.0,[],15.0,0.943,0.181,197880.0,0.225,0.307,7.0,0.149,-11.163,0.0347,179.347,3.0,0.173
0,The Old Lamp-Lighter,Sammy Kaye,0,Sammy Kaye,The Old Lamp-Lighter Sammy Kaye,181.0,2000-01-01,4394.0,"['big band', 'swing']",34.0,0.994,0.367,180492.0,0.146,0.318,2.0,0.115,-17.867,0.0344,92.222,1.0,0.332
0,I Can't Begin to Tell You,Bing Crosby and Carmen Cavallaro,0,Bing Crosby and Carmen Cavallaro,I Can't Begin to Tell You Bing Crosby and Carmen Cavallaro,168.0,1993-01-01,434533.0,"['adult standards', 'easy listening']",81.0,0.966,0.567,174600.0,0.125,0.189,7.0,0.114,-21.128,0.0404,97.721,4.0,0.323
0,I'm a Big Girl Now,Sammy Kaye,0,Sammy Kaye,I'm a Big Girl Now Sammy Kaye,184.0,2022-11-25,4394.0,"['big band', 'swing']",34.0,0.975,0.687,187820.0,0.0459,0.0,10.0,0.12,-14.807,0.0601,87.979,4.0,0.621
0,Symphony,Bing Crosby,0,Bing Crosby,Symphony Bing Crosby,184.0,2019-11-01,434533.0,"['adult standards', 'easy listening']",81.0,0.308,0.34,159347.0,0.404,0.0,10.0,0.317,-9.915,0.0284,72.097,4.0,0.228
0,The Gypsy,Sammy Kaye,0,Sammy Kaye,The Gypsy Sammy Kaye,183.0,2008,4394.0,"['big band', 'swing']",34.0,0.928,0.286,196838.0,0.118,0.0776,7.0,0.14,-14.041,0.0394,86.713,4.0,0.242
0,Doin' What Comes Natur'lly,Dinah Shore with the Spade Cooley Orchestra,0,Dinah Shore with the Spade Cooley Orchestra,Doin' What Comes Natur'lly Dinah Shore with the Spade Cooley Orchestra,180.0,1989-06-13,1755040.0,[],0.0,0.961,0.876,190907.0,0.141,0.0,7.0,0.11,-18.383,0.172,94.252,4.0,0.889
0,Laughing on the Outside (Crying on the Inside),Dinah Shore,0,Dinah Shore,Laughing on the Outside (Crying on the Inside) Dinah Shore,183.0,2014-04-18,73870.0,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",48.0,0.971,0.322,187267.0,0.18,0.00237,7.0,0.224,-11.701,0.041,66.587,4.0,0.323
0,Five Minutes More,Tex Beneke with the Glenn Miller Orchestra,0,Tex Beneke with the Glenn Miller Orchestra,Five Minutes More Tex Beneke with the Glenn Miller Orchestra,164.0,2001,102.0,"[""man's orchestra""]",14.0,0.844,0.571,154533.0,0.406,0.000421,5.0,0.16,-7.718,0.0355,76.89,4.0,0.804
0,Laughing on the Outside (Crying on the Inside),Andy Russell,0,Andy Russell,Laughing on the Outside (Crying on the Inside) Andy Russell,184.0,2000-06-06,1755040.0,[],0.0,0.981,0.328,181933.0,0.182,0.6,0.0,0.31,-14.598,0.0336,69.044,4.0,0.386
0,Hey! Ba-Ba-Re-Bop,Tex Beneke with the Glenn Miller Orchestra,0,Tex Beneke with the Glenn Miller Orchestra,Hey! Ba-Ba-Re-Bop Tex Beneke with the Glenn Miller Orchestra,162.0,2022-10-07,8608.0,"['big band', 'jazz saxophone', 'swing']",38.0,0.7,0.483,168973.0,0.302,0.791,2.0,0.154,-10.484,0.0426,125.021,4.0,0.693
0,They Say It's Wonderful,Perry Como,0,Perry Como,They Say It's Wonderful Perry Como,179.0,2010-05-25,445555.0,"['adult standards', 'easy listening']",74.0,0.987,0.363,154013.0,0.0664,3.33e-05,4.0,0.119,-16.412,0.0376,139.526,3.0,0.188
0,To Each His Own,Tony Martin,0,Tony Martin,To Each His Own Tony Martin,184.0,2021-04-02,4798.0,['deep adult standards'],28.0,0.929,0.399,187977.0,0.128,6.02e-05,3.0,0.248,-16.935,0.0393,66.96,4.0,0.365
0,You Won't Be Satisfied (Until You Break My Heart),Les Brown,0,Les Brown,You Won't Be Satisfied (Until You Break My Heart) Les Brown,180.0,1989-06-13,1755040.0,[],0.0,0.99,0.564,183400.0,0.0189,0.0013,6.0,0.0919,-21.263,0.0403,73.975,4.0,0.226
0,Symphony,Benny Goodman,0,Benny Goodman,Symphony Benny Goodman,180.0,1989-06-13,1755040.0,[],0.0,0.968,0.555,188507.0,0.0644,0.00108,8.0,0.196,-18.904,0.0336,102.704,4.0,0.279
0,Oh! What It Seemed to Be,Charlie Spivak,0,Charlie Spivak,Oh! What It Seemed to Be Charlie Spivak,184.0,2011-09-30,582.0,"[""man's orchestra""]",35.0,0.993,0.334,156494.0,0.03,0.563,3.0,0.176,-27.598,0.0446,87.184,4.0,0.637
0,Doin' What Comes Natur'lly,Freddy Martin,0,Freddy Martin,Doin' What Comes Natur'lly Freddy Martin,184.0,2014-09-02,2702.0,['easy listening'],39.0,0.892,0.615,196413.0,0.387,0.0,10.0,0.0636,-6.815,0.0384,168.021,4.0,0.962
0,The Old Lamp-Lighter,Kay Kyser,0,Kay Kyser,The Old Lamp-Lighter Kay Kyser,183.0,1957-12-03,9824.0,"['big band', 'swing']",31.0,0.995,0.261,199693.0,0.0754,0.0292,5.0,0.106,-16.228,0.0327,79.476,1.0,0.182
0,Oh! What It Seemed to Be,Dick Haymes and Helen Forrest,0,Dick Haymes and Helen Forrest,Oh! What It Seemed to Be Dick Haymes and Helen Forrest,182.0,2005,17.0,[],0.0,0.949,0.291,182280.0,0.072,0.0289,11.0,0.124,-20.211,0.0427,81.391,4.0,0.182
0,Rumors Are Flying,The Andrews Sisters and Les Paul Trio,0,The Andrews Sisters and Les Paul Trio,Rumors Are Flying The Andrews Sisters and Les Paul Trio,161.0,2002-10-01,179064.0,"['adult standards', 'lounge', 'torch song', 'vocal harmony group', 'vocal jazz']",68.0,0.99,0.762,177320.0,0.0765,0.0,1.0,0.0989,-15.324,0.0376,72.732,4.0,0.269
0,Dig You Later (A Hubba-Hubba-Hubba),Perry Como,0,Perry Como,Dig You Later (A Hubba-Hubba-Hubba) Perry Como,183.0,2000,445555.0,"['adult standards', 'easy listening']",74.0,0.947,0.809,182973.0,0.379,0.0,1.0,0.176,-11.242,0.268,80.225,4.0,0.863
0,Symphony,Jo Stafford,0,Jo Stafford,Symphony Jo Stafford,184.0,1953-01-01,75575.0,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",53.0,0.926,0.305,150000.0,0.215,3.62e-05,7.0,0.242,-10.415,0.0332,90.395,4.0,0.212
0,To Each His Own,The Modernaires and Paula Kelly,0,The Modernaires and Paula Kelly,To Each His Own The Modernaires and Paula Kelly,184.0,1999,20.0,[],0.0,0.875,0.486,176692.0,0.26,3.89e-05,5.0,0.207,-13.308,0.0275,95.907,4.0,0.145
